label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,0.0,3.9237545,0.33505183,0.0,1.0860089,0.0,0.0,0.0,0.0,0.0,3.3516881,0.12508188,0.0,0.0,0.1781334,4.7376475,0.0,0.0,2.5990865,0.0,0.81939566,0.0,0.0,0.0,0.0,0.0,3.6407537,0.4703395,0.0,0.0,0.0,0.38217062,0.0,0.0,0.0,0.0,0.6176023,0.0,5.9742594,0.0,0.0,0.0,0.0,7.3290186,0.0,0.0,0.0,0.0,0.24383257,0.0,0.0,0.0,6.7570567,0.0,0.0,0.0,0.15515447,0.0,0.03615172,4.9904757,0.0,0.48060137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8356001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9920408,0.0,0.0,0.0,0.0,5.64162,0.0,0.0,0.7702662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3428295,0.0,0.0,0.6818744,0.0,0.0,0.0,0.0,5.4572215,0.009498393,0.4463641,0.0,0.0,0.0,0.026411781,12.202555,3.623166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385186,1.1869115,0.0,1.2205821,0.6807721,4.915376,0.0,0.0,1.7829584,0.5693146,3.8199284,1.0073948,0.0,4.520244,0.009493636,7.5724583,0.0,0.0,0.0,4.6237683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26791158,4.6061277,0.0,0.26513147,0.0,0.0,0.0,1.0619254,0.0,0.0,6.051811,13.627685,0.0,0.0,0.0,0.5583695,0.0,0.0,10.354399,0.0,0.0,0.97660404,0.0,0.0,0.0,0.0,0.18179585,0.0,0.0,3.7086062,0.0,3.8477595,0.0,0.0,0.16514078,0.16490652,5.034487,1.8734818,7.2632236,0.0,0.0,3.7091954,0.6358082,0.0,0.32731482,0.0,0.0,9.518425,2.31045,0.0,7.1547413,5.543155,0.0,0.0,2.0837016,0.0,0.0,3.5818326,0.0,0.0,0.0,0.087517306,0.0,0.14129849,1.4169642,0.0,0.0,0.0,0.0,0.0,0.0,3.3055205,0.0,0.0,4.5378337,0.0,0.0,0.0,0.0,0.3289047,0.0,0.0,0.008959303,0.046892293,0.06261699,7.946378,0.8310311,0.0,4.3086724,0.0,0.0,0.0,0.42510575,0.00015189935,0.0,0.0,0.2785277,0.0,6.102882,4.738816
1,0.0,5.696797,3.191139,0.0,2.700338,0.0,0.0,0.0,0.0,0.0028052737,6.228392,7.461716,0.0,0.0,6.1520896,2.157333,0.0,0.0,4.4981446,0.0,8.938291,0.0,0.0,0.0,0.0,0.0,0.0,12.811931,0.0,0.0,0.0,1.4168104,0.0,0.0,0.0,0.0,3.7931035,0.0,0.29057783,0.0,0.0,0.0,0.0,0.34077516,0.0,0.015878266,0.0,0.0,0.55239964,0.0,0.0,0.0,5.9433184,0.0,0.0,0.0,0.85524666,0.0,0.0,1.0702263,0.0,3.3775933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91581,0.0,0.6822444,0.0,0.0,0.0,0.0,0.0,0.0,0.13312604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6968627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7879128,0.0,0.0,3.397948,0.0,0.0,0.0,2.5468163,3.9463818,3.8285854,0.0,0.0,0.0,0.0,2.287449,0.0,5.0146565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5814865,0.988721,0.0,0.116690636,0.0,5.6828227,0.0,0.0,0.0,0.59061843,1.4918588,1.9543173,0.0,0.11053483,3.1625829,0.23661502,0.0,0.0,0.0,4.9037147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6130317,6.0842214,0.0,0.094854824,0.0,0.0,0.0,1.0922661,0.0,0.0,8.849512,7.7965183,0.0,0.0,0.0,0.12948506,0.0,0.0,4.1847954,0.0,0.0,5.107757,0.0,0.0,0.0,0.0,1.1371547,0.0,0.0,0.012536028,0.0,0.32794067,0.0,0.0,5.3368177,3.2239575,0.0121750925,0.13265349,13.894216,0.0,0.0,5.581295,0.2045168,0.0,3.090535,0.0,8.346537,0.0,0.0,0.0,0.55015427,0.25449672,0.0,0.0,10.029329,0.0,0.0,1.7191117,0.0,0.0,0.0,0.63720936,0.0,0.0,0.04651408,0.0,0.0,0.0,0.0,0.0,0.0,0.03192807,0.0,0.0,0.35048386,0.0,0.0,0.0,0.0,3.0628371,0.0,0.0,1.5687605,5.2944345,0.9194904,4.3637977,4.4740415,0.0,0.0,0.0,0.0,0.0,0.47301173,0.010553398,0.0,0.0,0.0005894419,0.0,3.551072,10.610724
2,0.0,3.7844584,5.204125,0.0,3.4675827,0.0,0.0,0.0,0.0,1.8405492,3.3005505,3.1449819,0.0,0.0,1.4462849,0.77219236,0.0,0.0,2.6944828,0.0,0.3458608,0.0,0.0,0.0,0.0,0.0,0.9657375,6.522578,0.0,0.0,0.0,5.832365,0.0,0.0,0.0,0.0,0.47191662,0.0,0.9079976,0.0,0.0,0.0,0.0,1.0258064,0.0,0.0,0.0,0.0,0.98555243,0.0,0.0,0.0,0.62957865,0.0,0.0,0.0,4.9249296,0.0,0.0,1.3627402,0.0,0.09972964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0001578,0.0,0.6833791,0.0,0.0,0.0,0.0,0.0,0.0,2.7320335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3719726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18925813,0.0,0.0,1.6405741,0.0,0.0,0.0,5.3292103,6.1509914,0.6385007,0.0,0.0,0.0,0.0,1.6220329,0.0,0.92556345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4302275,0.78738403,0.0,1.8423847,0.09012886,12.392727,0.0,0.0,0.0,4.660392,3.1024454,1.3195825,0.0,1.1656328,2.7108018,0.09506603,0.0,0.0,0.33299032,8.0549135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5178654,0.0,0.01969644,0.0,0.0,0.0,0.9350173,0.0,0.0,3.6974037,1.5327454,0.0,0.0,0.0,3.615782,0.0,0.0,0.046832222,0.0,0.0,6.085064,0.0,0.0,0.0,0.0,5.2421565,0.0,0.0,0.05353374,0.0,0.8546434,0.0,0.0,3.7838647,0.43806553,0.0,0.023070287,7.603655,0.0,0.0,11.202746,5.6525025,0.0,0.82052356,0.0,6.7323713,0.0,0.025275629,0.0,2.8946507,3.835195,0.0,0.0,6.1983714,0.0,0.0,0.14715537,0.0,0.0,0.0,0.0043098396,0.0,0.0154601,0.5226467,0.0,0.0,0.0,0.0,0.0,0.0,4.5589576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.970507,0.0,0.0,2.400425,1.2597761,0.9952654,0.7020147,12.284708,0.0,3.5613856,0.0,0.0,0.0,1.3697125,0.0,0.0,0.0,0.0063881427,0.0,3.4079673,8.782742
3,0.0,4.5917344,0.0043176827,0.0,2.0086594,0.0,0.0,0.0,0.0,0.07237809,0.30399793,0.1068591,0.0,0.0,1.9262121,9.300894,0.0,0.0,4.428982,0.0,0.0831973,0.0,0.0,0.0,0.0,0.0,1.4188375,0.0,0.0,0.0,0.0,12.632515,0.0,0.0,0.0,0.0,7.77407,0.0,1.2639586,0.0,0.0,0.0,0.0,5.1431193,0.0,0.0,0.0,0.0,0.41986278,0.0,0.0,0.0,1.842864,0.0,0.0,0.0,0.1969754,0.0,0.0,0.0010743426,0.0,1.1442838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2243948,0.0,0.023799663,0.0,0.0,0.0,0.0,0.0,0.0,4.5163417,0.0,0.0,0.0,0.0,8.532098,0.0,0.0,1.875562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.095151,0.0,0.0,5.762165,0.0,0.0,0.0,4.8923,0.0070499717,0.8826326,0.0,0.0,0.0,0.0,8.698023,0.580701,0.28531414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.918818,5.527535,0.0,0.32120746,0.0,7.867742,0.0,0.5257438,12.211553,1.3736851,3.2994792,7.419763,0.0,4.8621745,2.6570637,0.7103462,0.0,0.0,0.0,0.25756735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9881543,9.253495,0.0,1.0118636,0.0,0.0,0.0,8.409514,0.0,0.0,8.757617,0.8680709,0.0,0.0,0.040689636,1.6397222,0.0,0.0,0.51719505,0.0,0.0,0.6427504,0.0,0.0,0.0,0.0,2.4073899,0.0,0.0,0.927963,0.0,4.6196566,0.0,0.0,0.39258185,5.5316496,10.340075,6.6594152,0.73587257,0.0,0.0,0.0,13.334933,0.0,6.104274,0.0,0.059029225,0.0,1.2128062,0.0,0.27744603,0.056748625,0.0,0.0,1.2482028,0.0,0.0,0.2048558,0.0,0.0,0.0,5.5165353,0.0,6.0340867,1.2448331,0.0,0.0,0.0,0.0,0.0,0.0,1.0092354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08040333,0.0,0.0,0.5471433,6.647727,14.501619,11.742427,4.4369903,0.0,0.0,0.0,0.0,0.0,1.8312088,4.70358,0.0,0.0,7.9674063,0.0,2.8307428,2.3829613
4,0.0,3.30114,0.121491164,0.0,2.7911084,0.0,0.0,0.0,0.0,0.0,4.388414,0.16554114,0.0,0.0,4.784774,4.4902606,0.0,0.0,4.492831,0.0,0.09978164,0.0,0.0,0.0,0.0,0.0,3.4946878,0.44347972,0.0,0.0,0.0,1.8198012,0.0,0.0,0.0,0.0,4.588101,0.0,5.113805,0.0,0.0,0.0,0.0,1.0670435,0.0,0.0,0.0,0.0,2.2169085,0.0,0.0,0.0,1.9600848,0.0,0.0,0.0,1.9090703,0.0,0.0,0.4624115,0.0,0.42378718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5489135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8192778,0.0,0.0,0.0,0.0,1.847133,0.0,0.0,5.3001986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069884166,0.0,0.0,4.8010087,0.0,0.0,0.0,0.0,2.0471728,0.56451154,0.0,0.0,0.0,0.0,0.04558196,0.815201,0.4138602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.757265,2.516656,0.0,0.2306486,0.0,12.060331,0.0,0.0,1.7132545,4.0010824,8.283493,6.1176634,0.0,5.471055,0.0061301826,3.3843052,0.0,0.0,0.0,2.6213095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078956865,4.612886,0.0,1.0689676,0.0,0.0,0.0,4.2280574,0.0,0.0,8.382054,8.093579,0.0,0.0,0.0,0.9011073,0.0,0.0,3.1757052,0.0,0.0,2.5471392,0.0,0.0,0.0,0.0,9.138974,0.0,0.0,0.31497464,0.0,0.6744161,0.0,0.0,0.0057582036,0.97670543,1.5881193,2.9239335,5.677868,0.0,0.0,0.0582893,5.8754263,0.0,5.6515083,0.0,0.0,0.1550359,0.032981075,0.0,3.66337,3.4963994,0.0,0.0,0.98199135,0.0,0.0,1.7378515,0.0,0.0,0.0,3.2284148,0.0,2.237205,3.1324182,0.0,0.0,0.0,0.0,0.0,0.0,0.12902915,0.0,0.0,1.3266615,0.0,0.0,0.0,0.0,0.5220723,0.0,0.0,0.0090148635,0.045240734,1.7057611,18.600534,9.256575,0.0,2.3860767,0.0,0.0,0.0,4.0474524,0.016404891,0.0,0.0,4.686914,0.0,2.5578263,8.521861
5,0.0,0.4956929,0.7579159,0.0,4.7507725,0.0,0.0,0.0,0.0,0.0,2.284281,1.0677843,0.0,0.0,4.5100646,0.9047863,0.0,0.0,3.2904437,0.0,1.0294122,0.0,0.0,0.0,0.0,0.0,0.14160794,1.5447975,0.0,0.0,0.0,1.0550563,0.0,0.0,0.0,0.0,3.7464302,0.0,5.4372253,0.0,0.0,0.0,0.0,0.52381045,0.0,0.0,0.0,0.0,4.1466684,0.0,0.0,0.0,3.395779,0.0,0.0,0.0,1.3054502,0.0,0.0,3.3105595,0.0,0.7989743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.894121,0.0,0.00966737,0.0,0.0,0.0,0.0,0.0,0.0,0.3108307,0.0,0.0,0.0,0.0,4.349767,0.0,0.0,6.711584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18067111,0.0,0.0,1.0772566,0.0,0.0,0.0,0.0,1.9607321,3.971244,0.0,0.0,0.0,0.0,0.32103422,0.87621045,1.4798157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3831263,2.580263,0.0,2.0384583,0.0,8.594252,0.0,0.0,3.2049782,1.9293208,7.29504,3.8157442,0.0,2.1783679,0.01440133,1.9162265,0.0,0.0,0.0,3.379203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08850599,5.5356846,0.0,5.1080265,0.0,0.0,0.0,3.7154458,0.0,0.0,7.7236905,5.9308777,0.0,0.0,0.0,3.0475285,0.0,0.0,2.74232,0.0,0.0,6.1393948,0.0,0.0,0.0,0.0,3.4808118,0.0,0.0,0.27321038,0.0,1.3989487,0.0,0.0,0.26350796,7.168549,4.1085877,2.1494908,6.76271,0.0,0.0,0.6919082,3.9892921,0.0,5.274447,0.0,0.026802646,0.33395687,0.49366066,0.0,2.5927808,6.2504177,0.0,0.0,1.0999718,0.0,0.0,2.1667457,0.0,0.0,0.0,3.226254,0.0,1.1167696,1.1532773,0.0,0.0,0.0,0.0,0.0,0.0,0.3358391,0.0,0.0,5.1556015,0.0,0.0,0.0,0.0,0.5018507,0.0,0.0,0.22747108,0.6026074,2.8837657,13.029682,11.861392,0.0,2.2381253,0.0,0.0,0.0,2.3048537,0.0033781575,0.0,0.0,1.4544421,0.0,2.776446,6.572675
6,0.0,0.3345351,5.17408,0.0,10.186939,0.0,0.0,0.0,0.0,0.5755683,2.3065565,0.05461044,0.0,0.0,0.92917204,3.0289044,0.0,0.0,0.18626858,0.0,0.020814143,0.0,0.0,0.0,0.0,0.0,0.061544947,0.01710751,0.0,0.0,0.0,8.917633,0.0,0.0,0.0,0.0,2.68148,0.0,3.3047,0.0,0.0,0.0,0.0,3.3695319,0.0,0.008249137,0.0,0.0,4.4507504,0.0,0.0,0.0,0.05156399,0.0,0.0,0.0,1.0921692,0.0,0.0,4.1155233,0.0,1.1076012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5141984,0.0,2.7579129,0.0,0.0,0.0,0.0,0.0,0.0,0.20089957,0.0,0.0,0.0,0.0,7.1365185,0.0,0.0,6.2347994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3931394,0.0,0.0,0.5578651,0.0,0.0,0.0,0.11590803,2.2577765,6.9363832,0.0,0.0,0.0,0.0,7.387932,0.44085655,5.5215764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01846425,0.0,0.0,0.0,0.0,11.535362,3.8025706,0.0,5.0499144,0.022274107,0.6459023,0.0,0.13660085,0.80326885,4.494154,12.889303,9.575294,0.0,9.916005,1.2925267,9.628501,0.0,0.0,0.002835613,0.031794272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0608209,6.4325953,0.0,6.347052,0.0,0.0,0.0,10.8981695,0.0,0.0,8.759666,4.6645355,0.0,0.0,0.0,7.9236917,0.0,0.0,0.363365,0.0,0.0,10.41497,0.0,0.0,0.0,0.0,0.62173325,0.0,0.0,6.1837206,0.0,10.455439,0.0,0.0,2.1400056,8.122051,8.481989,7.2904835,0.5568064,0.0,0.0,1.7837752,9.949332,0.0,2.5734184,0.0,0.15311787,0.027517157,4.877875,0.0,3.2272382,10.437163,0.0,0.0,0.34824914,0.0,0.0,4.185203,0.0,0.0,0.0,0.029220585,0.0,7.057762,0.71789676,0.0,0.0,0.0,0.0,0.0,0.0,0.14279382,0.0,0.0,1.0009987,0.0,0.0,0.0,0.0,0.43295547,0.0,0.0,2.9728813,4.0648317,12.177458,10.058542,15.440787,0.0,3.4817429,0.0,0.0,0.0,5.384584,0.1438872,0.0,0.0,5.5745554,0.0,0.9302177,0.04773067
7,0.0,8.03235,0.6071145,0.0,1.9986339,0.0,0.0,0.0,0.0,5.4668946,0.0,9.582887,0.0,0.0,8.692416,9.984452,0.0,0.0,0.6629018,0.0,8.506883,0.0,0.0,0.16831568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.564182,0.0,0.0,0.0,0.0,11.312593,0.0,7.894653,0.0,0.0,0.0,0.0,2.1288977,0.0,4.7666173,0.0,0.0,6.130854,0.0,0.0,0.0,3.4262671,0.0,0.0,0.0,0.8308823,0.0,0.0,0.4022715,0.0,8.272995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.894557,0.0,7.1839275,0.0,0.0,0.0,0.0,0.0,0.0,0.005261238,0.0,0.0,0.0,0.0,0.009255204,0.0,0.0,6.204279,0.0,0.0,0.054944303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3411835,0.0,0.0,2.3402257,0.0,0.0,0.0,4.7356586,0.013425151,3.4690356,0.0,0.0,0.0,0.0,3.1216896,0.688122,6.101203,0.0,0.0,0.0,0.0,0.0,0.0,6.002468,6.8245206,0.0,0.0,0.0,0.0,3.1344326,2.2319713,0.0,2.7232828,13.661766,3.4187243,0.0,12.887729,0.11906218,0.31589362,4.7504673,5.7301407,0.0,6.082818,3.4805114,2.396402,0.0,0.0,1.8583663,2.8818696,0.0,0.0,1.1104475,0.0,1.286829,0.0,0.0,8.468231,20.790073,0.0,0.012582173,0.0,0.0,0.0,9.270884,0.0,0.0,19.410463,10.821859,0.0,0.0,1.7103194,5.7212033,0.0,0.0,12.684573,0.0,0.0,0.19467208,0.0,0.0,0.0,0.0,0.51877755,0.0,0.0,2.1944003,0.0,6.22522,0.0,0.0,12.052133,3.827395,0.0,1.8002179,8.312164,0.0,0.0,0.15141088,3.8638258,0.6438177,2.3903058,0.0,2.8002393,0.0,9.678608,0.0,2.0921526,0.64764875,0.0,0.0,10.502467,0.0,0.0,10.699246,0.0,0.0,0.0,0.11409163,0.0,0.34834284,4.2647715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.118007e-05,0.0,0.0,9.107773,4.174624,2.5388048,6.79903,0.034991246,0.0006670049,0.9133485,0.0,0.0,0.0,1.3156497,9.520425,0.0,0.0,0.54173714,0.0,2.6943684,4.658439
8,0.0,1.920795,1.1721034,0.0,7.0010023,0.0,0.0,0.0,0.0,12.686741,0.0,2.829822,0.0,0.0,7.456335,9.680015,0.0,0.0,0.47686994,0.0,1.2418327,0.0,0.0,0.0,0.0,0.0,0.013171647,0.0,0.0,0.0,0.0,12.092475,0.0,0.0,0.0,0.0,1.880508,0.0,7.3648167,0.0,0.0,0.0,0.0,8.483224,0.0,4.35189,0.0,0.0,4.491933,0.0,0.0,0.0,0.5818158,0.0,0.0,0.0,4.3699713,0.0,0.0,0.42961967,0.0,0.19388294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3097811,0.0,7.9704747,0.0,0.0,0.0,0.0,0.0,0.0,0.0127668455,0.0,0.0,0.0,0.0,0.55134314,0.0,0.0,8.059818,0.0,0.0,1.1668137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145416,0.0,0.0,0.17566998,0.0,0.0,0.0,4.0500646,0.0709431,2.2758608,0.0,0.0,0.0,0.0,7.9041805,0.66735166,3.261475,0.0,0.0,0.0,0.0,0.0,0.0,5.795695,6.044672,0.0,0.0,0.0,0.0,0.7029276,3.654859,0.0,7.440607,12.716538,4.1122475,0.0,14.319279,0.18179138,2.5594106,3.5497653,1.1367253,0.0,7.5335336,1.528555,4.5321136,0.0,0.0,3.8371634,7.3690176,0.0,0.0,0.006050095,0.0,3.9683354,0.0,0.0,0.5111466,21.493702,0.0,0.87016535,0.0,0.0,0.0,8.357041,0.0,0.0,6.9688454,1.8903081,0.0,0.0,0.007071018,7.4279866,0.0,0.0,3.9368122,0.0,0.0,1.5602902,0.0,0.0,0.0,0.0,0.1954335,0.0,0.0,2.975053,0.0,10.035924,0.0,0.0,7.86091,5.603214,0.33951774,2.9193366,0.6293863,0.0,0.0,7.8233337,11.894865,6.727709,0.2279686,0.0,4.8499217,0.0,13.184025,0.0,6.596392,3.9669085,0.0,0.0,5.5620894,0.0,0.0,3.0943465,0.0,0.0,0.0,0.097682856,1.2107497,2.3104768,6.2011466,0.0,0.0,0.0,0.0,0.0,0.0,0.0024501276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1061535,2.553167,8.11636,2.0408258,1.112376,0.0,3.7843175,0.0,0.0,0.0,0.44206098,9.923801,0.0,0.0,0.40775466,0.0,8.063385,1.7998997
9,0.0,0.106322624,3.8248827,0.0,10.061878,0.0,0.0,0.0,0.0,0.0031041484,6.105095,0.8262226,0.0,0.0,0.9672101,0.22326665,0.0,0.0,2.4817803,0.0,0.5018099,0.0,0.0,0.0,0.0,0.0,0.012954138,3.9877584,0.0,0.0,0.0,1.0551902,0.0,0.0,0.0,0.0,7.8273926,0.0,0.77935684,0.0,0.0,0.0,0.0,0.18134649,0.0,0.0,0.0,0.0,1.412788,0.0,0.0,0.0,0.1574407,0.0,0.0,0.0,2.2290807,0.0,0.0,5.8134885,0.0,4.3791494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.277856,0.0,0.30927458,0.0,0.0,0.0,0.0,0.0,0.0,1.6203649,0.0,0.0,0.0,0.0,0.14565575,0.0,0.0,6.6426134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1536785,0.0,0.0,3.7344842,0.0,0.0,0.0,0.0,1.159216,6.9977508,0.0,0.0,0.0,0.0,0.22369123,0.8578854,4.975659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058154743,0.0,0.0,0.0,0.0,9.918658,4.614497,0.0,0.25284633,0.75619704,4.106398,0.0,0.0,0.013587627,6.5403185,14.907717,9.593509,0.0,8.190567,0.05546991,7.9869666,0.0,0.0,0.0031357282,0.39341718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.069413,1.8444321,0.0,0.7527539,0.0,0.0,0.0,5.6777687,0.0,0.0,13.832974,14.680192,0.0,0.0,0.0,3.3134754,0.0,0.0,1.5557855,0.0,0.0,9.048563,0.0,0.0,0.0,0.0,2.0410426,0.0,0.0,5.1017537,0.0,6.5653,0.0,0.0,2.6305795,1.6424148,0.07180941,1.0644217,7.480039,0.0,0.0,0.71474326,1.2197313,0.0,6.7375216,0.0,0.0027924725,0.051929757,1.7505046,0.0,6.025222,8.921856,0.0,0.0,0.10524571,0.0,0.0,8.163321,0.0,0.0,0.0,0.023863629,0.0,0.5572832,0.28208676,0.0,0.0,0.0,0.0,0.0,0.0,0.11455961,0.0,0.0,6.021437,0.0,0.0,0.0,0.0,7.267852,0.0,0.0,0.48900914,0.46245435,3.1287315,14.916608,11.978319,0.0,0.91920924,0.0,0.0,0.0,8.004742,0.0,0.0,0.0,0.6825644,0.0,0.10177244,3.0453382
