model,clean_accuracy,mean_corruption_accuracy,relative_robustness,noise_accuracy,blur_accuracy,weather_accuracy,digital_accuracy,gaussian_noise,shot_noise,impulse_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression
convnext_tiny_finetuned,0.9959944538591896,0.7688336834014293,0.7719256672789911,0.7492136584926422,0.7600050905227639,0.7746351061035395,0.786575872259575,0.7752008473668687,0.7404277566034432,0.7320123715076146,0.7841289071652993,0.7158675771795758,0.7735998800749492,0.766423997671231,0.7559994632275598,0.7591699715514025,0.7781883042248848,0.8051826854103108,0.7928623302196505,0.7523658895955055,0.790791141562248,0.8102841276608964
swin_tiny_finetuned,0.9969188106609151,0.7536006378861821,0.7559298007292857,0.7262817788451885,0.7466645587937384,0.7663230926217494,0.7683034065238037,0.747295654078568,0.7289826733831762,0.7025670090738213,0.7710781632218786,0.7182480859147213,0.7503970955133858,0.746934890524968,0.7518926057817534,0.7551396763551865,0.7719924712930762,0.786267617056981,0.7702616983352011,0.7395245712118053,0.7734615857441515,0.7899657708040568
efficientnet_b3,0.9932213834540132,0.7457046772514673,0.7507940220318403,0.7417101369973027,0.7327747481424278,0.7401011064335599,0.7672340823690377,0.7614651871683239,0.7425939206829811,0.7210713031406029,0.7484044097775585,0.6944928489951733,0.7489721942932088,0.7392295395037705,0.7240248411646891,0.7300877767156857,0.7415718807314946,0.7647199271223705,0.7817335239429086,0.7337202066937114,0.7658891087443189,0.7875934900952116
swin_tiny,0.9963025727930981,0.7455115761400699,0.7482782806131427,0.7225728568380729,0.7364765459557683,0.7560420796773584,0.7612201422635803,0.7458669562026434,0.7297032814583522,0.692148332853223,0.7647152025047879,0.6972386195003608,0.7405485092699622,0.7434038525479625,0.7358448891588929,0.7476246520514478,0.7626800210422945,0.7780187564567984,0.7713624751631152,0.7341403128048165,0.7573609035746958,0.7820168775116938
resnext101_32x8d,0.9893698967801572,0.7419506357359738,0.7499223881286523,0.7153703070571096,0.7448965777986389,0.7429390869864954,0.7579514889319353,0.726993568937263,0.7220873241238034,0.6970300281102624,0.763907802698768,0.6972459065141754,0.7632060552313803,0.7552265467502322,0.7293085785059092,0.723465471996328,0.7415644482570096,0.7774178491867346,0.7522884690814888,0.7298253276597048,0.7635747537161037,0.7861174052704443
convnext_tiny,0.9731936527499615,0.7410477775581498,0.7614597315386972,0.721719620902153,0.7401646797472381,0.7378764961698816,0.7595982742493277,0.7411075791743992,0.725405971219984,0.698645312312076,0.7692769233191815,0.7080723168312026,0.7413611968190066,0.7419482820195615,0.7153940914291798,0.7237257106679359,0.748550979500321,0.7638352030820894,0.7654313525210205,0.7287749538865093,0.767019370488448,0.7771674201013326
densenet121,0.9961485133261438,0.7396328129696482,0.7424925129888628,0.7319961349747359,0.7283668092103996,0.737492972252549,0.7587661659421807,0.7570199085517155,0.7255484845533857,0.7134200118191067,0.7453154411406228,0.6946849584754898,0.7382391501890188,0.7352276870364675,0.709950779374406,0.7347753481879202,0.7385895388596315,0.7666562225882377,0.7705047366795914,0.733377353001415,0.7551386706849108,0.7760439034028055
resnet101,0.9915267293175165,0.7342379118379125,0.7405124744779196,0.7057704312217498,0.7411722473031547,0.7327317038718187,0.7501603948008866,0.7310763081931747,0.7053637723011132,0.6808712131709616,0.7602357671895035,0.7023327453208574,0.7562556739229833,0.7458648027792748,0.7187674497251562,0.7246517867185043,0.7355540762565852,0.7519535027870291,0.7606699236782131,0.73213700556769,0.7419432808707418,0.7658913690869014
resnext50_32x4d,0.9893698967801572,0.7322386002607261,0.7401060034712508,0.7141978428334341,0.7303531689260112,0.731616317575561,0.7482768823510753,0.7361108622789555,0.713795299033682,0.6926873671876649,0.7647317133937707,0.6908081572205444,0.7361386408354813,0.729734164254248,0.707727266012585,0.7213102601064163,0.7398425326335117,0.7575852115497307,0.7622246790623479,0.7127823568914338,0.739734438527275,0.7783660549232444
resnet50,0.9913726698505623,0.7243840770470052,0.7306879633429855,0.7001729607764089,0.7268493767174973,0.7248306916773329,0.7396304999491327,0.7168463233540979,0.7080089998650387,0.6756635591100898,0.7443507748870053,0.6896356439983826,0.7453725509992001,0.7280385369854012,0.7061469590059892,0.7200916641142628,0.7287233713534785,0.744360772235601,0.7501227657705432,0.722529771698234,0.730619679192473,0.7552497831352808
vit_s16,0.984285934370667,0.7027877129026411,0.7140076763892697,0.6742877326973545,0.6984901492588331,0.7131520021882795,0.7180959724147751,0.6814449372003509,0.6855520391878676,0.6558662217038453,0.7248564766229105,0.6612956519828621,0.7024031754329264,0.7054052929966332,0.6943301214447068,0.7040304580730269,0.717593283919832,0.7366541453155521,0.7183413559974964,0.699783679116183,0.710112882386885,0.744145972158536
