model,val_accuracy,macro_f1,params_M,flops_G,est_inference_ms,worst_class,worst_class_acc,best_class,best_class_acc
swin_tiny_finetuned,0.9969188106609151,0.9980123547312494,27.5,4.5,1.1749999999999998,Heart,0.9923469388,Bladder,1.0
swin_tiny,0.9963025727930981,0.9960147466299418,27.5,4.5,1.1749999999999998,Heart,0.9897959184,Femur (L),1.0
densenet121,0.9961485133261438,0.9957515168955049,7.0,2.9,0.935,Heart,0.987244898,Femur (L),1.0
convnext_tiny_finetuned,0.9959944538591896,0.9961760356791884,27.8,4.5,1.1749999999999998,Spleen,0.9829867675,Femur (L),1.0
efficientnet_b3,0.9932213834540132,0.9942915016646239,10.7,1.8,0.77,Lung (R),0.9653121903,Femur (L),1.0
resnet101,0.9915267293175165,0.9928352486239636,42.5,7.8,1.67,Lung (R),0.9613478692,Femur (L),1.0
resnet50,0.9913726698505623,0.9912078559183031,23.5,4.1,1.1149999999999998,Heart,0.9719387755,Femur (L),1.0
resnext50_32x4d,0.9893698967801572,0.9907434613455769,23.0,4.2,1.13,Lung (R),0.9623389495,Femur (L),1.0
resnext101_32x8d,0.9893698967801572,0.9909258401064421,86.7,16.4,2.9599999999999995,Lung (R),0.9504459861,Femur (L),1.0
vit_s16,0.984285934370667,0.9859178950126309,21.7,4.6,1.19,Lung (R),0.9484638256,Liver,1.0
convnext_tiny,0.9731936527499615,0.9743335828552304,27.8,4.5,1.1749999999999998,Heart,0.8979591837,Femur (L),1.0
