,resnet50,resnet101,resnext50_32x4d,resnext101_32x8d,densenet121,efficientnet_b3,vit_s16,swin_tiny,swin_tiny_finetuned,convnext_tiny,convnext_tiny_finetuned
resnet50,1.0,0.6110120362274629,0.6903529442202829,0.48212571343545124,0.8008510140799602,0.45390607826516016,0.6908160892514161,0.6963327947267637,0.7016958639656398,0.8424921022074721,0.08476940230702378
resnet101,0.6110120362274629,1.0,0.9093695564101946,0.8941652060796579,0.3112795340160681,0.9392353948087985,0.7757376916290196,0.4533649204347119,0.23285848654682686,0.4719935589023178,0.23706681125316645
resnext50_32x4d,0.690352944220283,0.9093695564101947,1.0,0.9244309681294762,0.31705782815211425,0.8469768072230739,0.8000110571039932,0.3810228096886303,0.5333447756870653,0.6389601220579586,0.2760325758113708
resnext101_32x8d,0.4821257134354512,0.8941652060796579,0.9244309681294762,1.0,0.1910078157328026,0.9396719932991219,0.8310374485386025,0.3274704389605659,0.4187236741735511,0.48917208496421205,0.4239111682666008
densenet121,0.8008510140799601,0.3112795340160681,0.3170578281521142,0.1910078157328026,0.9999999999999998,0.19879951578966007,0.5018457335316064,0.6463716050775552,0.4999336872775631,0.673987539828857,0.16410475119359572
efficientnet_b3,0.4539060782651601,0.9392353948087985,0.8469768072230739,0.9396719932991219,0.19879951578966004,1.0,0.7456391753990996,0.3872985570942888,0.2156143052333502,0.32363626380832833,0.47805165330421784
vit_s16,0.6908160892514161,0.7757376916290196,0.8000110571039932,0.8310374485386025,0.5018457335316064,0.7456391753990996,0.9999999999999999,0.6627720256912957,0.6169468617951945,0.7906557901761447,0.22358940945366024
swin_tiny,0.6963327947267636,0.4533649204347118,0.3810228096886302,0.3274704389605658,0.6463716050775553,0.3872985570942888,0.6627720256912957,1.0,0.3863654810462647,0.5448126011891029,0.07846037214431713
swin_tiny_finetuned,0.7016958639656398,0.23285848654682686,0.5333447756870653,0.4187236741735511,0.49993368727756304,0.21561430523335023,0.6169468617951945,0.3863654810462647,0.9999999999999998,0.8292515559454253,0.2706179041212122
convnext_tiny,0.842492102207472,0.4719935589023178,0.6389601220579585,0.48917208496421205,0.673987539828857,0.32363626380832833,0.7906557901761447,0.544812601189103,0.8292515559454252,1.0,-0.07460338479555015
convnext_tiny_finetuned,0.08476940230702378,0.23706681125316645,0.27603257581137086,0.4239111682666008,0.16410475119359574,0.4780516533042179,0.22358940945366024,0.07846037214431713,0.2706179041212122,-0.07460338479555015,1.0
