class_id,class_name,resnet50_acc,resnet50_f1,resnet101_acc,resnet101_f1,resnext50_32x4d_acc,resnext50_32x4d_f1,resnext101_32x8d_acc,resnext101_32x8d_f1,densenet121_acc,densenet121_f1,efficientnet_b3_acc,efficientnet_b3_f1,vit_s16_acc,vit_s16_f1,swin_tiny_acc,swin_tiny_f1,swin_tiny_finetuned_acc,swin_tiny_finetuned_f1,convnext_tiny_acc,convnext_tiny_f1,convnext_tiny_finetuned_acc,convnext_tiny_finetuned_f1,best_model,best_acc
0,Bladder,0.9937694704,0.9891472868217055,0.9937694704,0.996875,0.9968847352,0.9922480620155038,0.9906542056,0.9891135303265941,0.9906542056,0.9921996879875196,0.9906542056,0.9953051643192489,0.984423676,0.9890453834115807,0.9937694704,0.996875,1.0,0.9984447900466563,0.9906542056,0.9784615384615385,0.9906542056,0.9953051643192489,swin_tiny_finetuned,1.0
1,Femur (L),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978586723768736,0.9957081545,0.9957081545064378,1.0,0.9957264957264957,1.0,1.0,1.0,0.9914893617021276,1.0,1.0,resnet50,1.0
2,Femur (R),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666667,0.9932885906040269,0.9911111111,0.9955357142857144,1.0,1.0,1.0,1.0,1.0,1.0,resnet50,1.0
3,Heart,0.9719387755,0.9857697283311772,0.9948979592,0.9974424552429668,0.987244898,0.9935815147625161,0.9923469388,0.9961587708066582,0.987244898,0.9935815147625161,1.0,1.0,0.9642857143,0.9818181818181818,0.9897959184,0.9948717948717948,0.9923469388,0.9961587708066582,0.8979591837,0.9462365591397849,1.0,1.0,efficientnet_b3,1.0
4,Kidney (L),0.9806338028,0.9806338028169014,0.985915493,0.9893992932862191,0.9894366197,0.9920564872021183,1.0,0.9878260869565216,0.9911971831,0.990325417766051,0.9947183099,0.9868995633187774,0.9929577465,0.9715762273901809,0.9929577465,0.990342405618964,1.0,0.9982425307557118,0.9806338028,0.9456706281833617,0.9982394366,0.9947368421052631,resnext101_32x8d,1.0
5,Kidney (R),0.9952904239,0.9890795631825273,0.9984301413,0.9643669446550417,0.9874411303,0.9691833590138675,0.989010989,0.9707241910631742,0.9968602826,0.9906396255850234,1.0,0.9815100154083204,0.9905808477,0.9874804381846636,1.0,0.9968701095461658,0.9968602826,0.9968602825745683,0.978021978,0.9795597484276728,0.9937205651,0.9945011783189316,efficientnet_b3,1.0
6,Liver,1.0,0.9980676328502416,1.0,1.0,1.0,0.9942252165543792,1.0,0.9942252165543792,1.0,1.0,1.0,0.9971042471042472,1.0,0.974988201982067,1.0,0.9961427193828352,1.0,0.9990328820116054,1.0,0.974068835454974,1.0,0.994703899855561,resnet50,1.0
7,Lung (L),0.9951597289,0.997573993207181,0.9990319458,0.9995157384987894,0.9922555663,0.9961127308066083,0.9980638916,0.999031007751938,0.9990319458,0.9995157384987894,1.0,1.0,0.9980638916,0.999031007751938,0.9990319458,0.9995157384987894,0.9980638916,0.999031007751938,0.9777347531,0.9887420460107684,0.9990319458,0.9995157384987894,efficientnet_b3,1.0
8,Lung (R),0.9791873142,0.9894842263395092,0.9613478692,0.9802930773117736,0.9623389495,0.9808080808080809,0.9504459861,0.9745934959349593,0.9950445986,0.9975161450571287,0.9653121903,0.9823499747856783,0.9484638256,0.9735503560528993,0.9920713578,0.9960199004975124,0.9960356789,0.9980139026812315,0.9365708622,0.965270684371808,0.9910802775,0.9955201592832256,swin_tiny_finetuned,0.9960356789
9,Spleen,0.9943289225,0.9822595704948646,1.0,0.9962335216572504,0.9962192817,0.9896713615023474,0.9943289225,0.9933899905571293,0.9962192817,0.9934024505183789,0.9943289225,0.9971563981042654,0.988657845,0.9942965779467681,0.9962192817,0.996219281663516,0.9962192817,0.9952785646836637,0.9924385633,0.9813084112149533,0.9829867675,0.9914204003813154,resnet101,1.0
10,Pancreas,1.0,0.9912706110572259,0.9960861057,0.9970617042115573,0.9980430528,0.9902912621359223,0.9980430528,0.9951219512195121,0.9960861057,0.9960861056751468,1.0,0.9990224828934506,0.9823874755,0.9843137254901959,0.9980430528,0.9980430528375733,1.0,0.9970731707317073,0.9706457926,0.9668615984405458,1.0,0.992233009708738,resnet50,1.0
